"","V1"
"493",8.51571725546398
"496",-2.82513395059498
"498",9.55706000806468
"501",-8.82435610363667
"502",11.8685469436643
"506",8.14982749305486
"508",-2.96579920837503
"510",9.30752932731915
"515",8.67452566542003
"516",9.07182026373965
"517",6.1827373945949
"520",10.2295220980039
"523",0.123236166460229
"524",8.42659781091637
"527",3.91673561394927
"528",9.42939730539462
"530",4.31403021226889
"533",9.30752932731915
"534",-7.55877475849269
"535",6.75709658346754
"537",7.69476666838439
"538",-0.184938987311783
"539",5.52301192608175
"541",6.98888891411806
"542",5.83118707985377
"543",5.83510381278275
"544",2.75903377968498
"545",-3.45935167345421
"547",1.9261604535478
"548",4.28010738019884
"550",7.59372448477919
"551",10.730439156561
"557",-3.85825583428923
"561",11.6953990860402
"562",6.60477452031377
"564",6.43602265051489
"565",1.37005744527213
"566",-4.55130195878992
"568",4.8909696777738
"569",11.0623954241411
"573",4.40572993344877
"574",-5.52079009780633
"576",-7.04625038561965
"578",-9.35009173126432
"580",9.57273732229674
"584",6.59483106047095
"585",11.6953990860402
"587",10.730439156561
"588",-3.17276753240713
"592",0.923360959069552
"593",-4.13772746188634
"594",-0.745439345645898
"595",-3.61816008341027
"596",11.6953990860402
"597",10.2295220980039
"598",2.99474284326448
"599",7.40489931292309
"600",-6.43825465895392
"601",11.4596900224607
"602",7.99506409045176
"603",3.73326784350951
"604",-10.095622495748
"607",0.0392077533837982
"608",8.78687616230693
"609",8.68055239233387
"611",5.52301192608175
"612",4.19216223419343
"614",4.5497392758484
"615",2.63716580160951
"617",3.08386228781209
"621",9.96591692926822
"622",11.4596900224607
"623",7.04152754667352
"625",4.40572993344877
"626",-0.550828749720903
"627",11.6953990860402
"629",-0.898462331533054
"630",11.8685469436643
"631",8.6597265978636
"634",-6.27650363641734
"635",4.86622715037456
"636",-1.53846547846118
"637",9.74588517992078
"640",2.56320912279987
"641",-12.3699276966221
"642",4.36922682474645
"643",11.4596900224607
"645",8.51571725546398
"647",7.32325069049321
"651",11.6953990860402
"652",5.83510381278275
"654",8.46443737591541
