"","V1"
"4426",8.41227431662112
"4428",7.71168604305154
"4433",7.71168604305154
"4441",0.250192448563643
"4451",5.61391679521869
"4459",5.03348604311174
"4470",-2.96322441598366
"4491",-4.06028216267972
"4497",1.418107925656
"4507",-1.28386840777605
"4535",4.65810944045748
"4540",-6.64639545666937
"4546",-0.957246016469669
"4547",-1.24564418197602
"4551",7.71168604305154
"4553",7.71168604305154
"4557",8.47854170736591
"4562",0.424196859368875
"4581",4.53302729178366
"4586",2.42558491923135
"4589",-1.83987110834748
"4590",6.64707699891777
"4593",3.50154979545519
"4594",-0.29445441991771
"4595",7.31062623027355
"4610",6.61041200900687
"4613",6.17571831008037
"4614",1.76970819481801
"4615",1.76970819481801
"4616",7.34766527248735
"4635",6.17571831008037
"4639",-4.34845479138124
"4649",6.16839396330492
"4675",3.76617162746929
"4692",7.33630944039729
"4711",4.13050066608121
"4720",6.179749795395
"4722",7.71168604305154
"4737",7.33630944039729
"4739",6.17571831008037
"4743",1.63140123157338
"4746",7.72304187514161
"4769",3.90260960823318
"4770",7.71168604305154
"4771",7.31062623027355
"4774",-0.161849144001514
"4813",6.99512557822843
"4878",0.327815671398501
"4884",4.09630792559581
"4897",8.16468586854066
"4898",-1.68492822055404
"4909",7.31062623027355
"4910",7.71168604305154
"4915",4.96095549827161
"4967",-1.70323434711665
"4969",3.17469331132
"4975",6.17571831008037
"4991",7.33630944039729
"5024",0.233740461846833
"5038",4.46506284113813
"5048",-1.28386840777605
"5049",-1.28386840777605
"5050",6.17571831008037
"5086",8.47854170736591
"5108",6.93524962761929
"5109",8.47854170736591
"5110",-1.00264607354707
"5111",-3.9690187021884
"5117",7.71168604305154
"5118",2.93571679527889
"5121",4.63242623033375
"5133",4.34507684709105
"5155",1.39242471553227
"5157",7.34766527248735
"5203",8.47854170736591
"5258",8.47854170736591
"5260",6.20543300551873
"5261",3.34080809337151
"5265",5.80034170742611
"5286",8.47854170736591
"5290",-2.82716048752267
"5308",2.91194046178664
"5309",7.72304187514161
"5314",7.31062623027355
"5317",2.92839244850345
"5320",7.16703917457019
"5331",3.97122577692199
"5339",7.72304187514161
"5346",0.836422014960849
"5364",1.89797614485508
"5400",1.9839409258323
"5403",-1.6086002832281
"5404",1.9839409258323
"5409",5.03348604311174
"5418",7.2700420496525
"5430",8.47854170736591
"5431",-3.49318196830395
"5437",5.77656537393386
"5439",4.63242623033375
"5467",6.22826991391406
"5475",6.17571831008037
"5501",3.11481736071086
"5517",7.33630944039729
