,X1,X2
335,-13.49254662,6.88880002
336,-12.05154416,7.993913162
337,-13.26713976,-4.620494356
338,-13.56740084,-5.289485609
339,-8.692368324,2.062732237
340,-9.815164861,3.086246841
341,-7.638418982,6.869427756
342,-16.87611806,3.279498648
343,-13.83514815,-4.780310023
344,-13.83514815,-4.780310023
345,-10.20957746,-4.138667681
346,-10.46584981,-5.00520274
347,-12.15197593,4.053753924
348,-13.83514815,-4.780310023
349,-16.92657667,0.641695316
350,-8.532783315,-4.919685619
351,-12.07593976,-1.546569136
352,-0.030221267,2.184407135
353,-10.7574404,3.524795687
354,-8.87483252,0.972509476
355,-4.598958701,2.840906096
356,-15.75332152,2.255984044
357,-15.27750307,1.196575689
358,-13.56740084,-5.289485609
359,4.872771726,2.821498085
360,7.411084982,4.361488266
361,-6.764072444,0.732726378
362,-11.58534279,-7.879747915
363,-12.65679093,6.539440101
364,-11.48353578,8.153728829
365,-10.12324828,6.663907303
366,-3.063338246,1.255874279
367,-16.87611806,3.279498648
368,-8.796617938,4.110128288
369,-2.374652574,-0.575191056
370,-13.82025503,2.341501164
371,-12.92453824,7.048615687
372,-8.192541636,1.139279174
373,-13.83514815,-4.780310023
374,-8.692368324,2.062732237
375,-6.799772503,3.264564562
376,-7.448723174,-5.044188569
377,-6.496325132,0.223550792
378,-10.13337079,0.957619096
379,-11.90208166,-4.694792902
380,-9.892461678,8.988834006
381,-16.92657667,0.641695316
382,-8.241683567,-1.103160125
383,-12.05154416,7.993913162
384,-14.94451862,-1.94856699
385,-10.23380255,-2.982540142
386,-16.87611806,3.279498648
387,-15.26125749,1.236388023
388,-16.92657667,0.641695316
389,-4.396102135,-0.847480389
390,-13.83514815,-4.780310023
391,-6.358507051,7.571709497
392,-5.042092739,-0.051923194
393,-16.87611806,3.279498648
394,-10.19810249,-5.514378326
395,-11.90208166,-4.694792902
396,-10.80789901,0.886992356
397,-16.87611806,3.279498648
398,-4.418459903,-1.641649584
399,-13.86345341,-1.553502284
400,-16.6263156,1.310686569
401,-16.57069115,-0.438855487
402,-16.87611806,3.279498648
403,-16.92657667,0.641695316
404,-12.51953616,-6.609866466
405,-16.6263156,1.310686569
406,-13.83514815,-4.780310023
407,-3.56689574,-8.863897493
408,-12.91677558,7.144758645
409,-16.87611806,3.279498648
410,-16.6263156,1.310686569
411,-13.83514815,-4.780310023
412,-10.23380255,-2.982540142
413,-15.87871199,-0.678685541
414,-12.42109848,-7.530387995
415,-8.456838959,-3.740273932
416,-16.92657667,0.641695316
417,-13.83514815,-4.780310023
418,-10.44249737,-0.67950166
419,3.29838183,3.748293505
420,-11.91832723,-4.734605236
421,-16.92657667,0.641695316
422,-10.75639723,8.739576905
423,-5.832333986,-0.537070551
424,3.265697415,7.70053115
425,-5.809003752,-0.108959393
426,-13.82502564,0.925978185
427,-13.56740084,-5.289485609
428,-12.99939245,-5.129669942
429,-13.56740084,-5.289485609
430,-13.49254662,6.88880002
431,-13.83514815,-4.780310023
432,-1.783291753,3.910325691
433,-10.46584981,-5.00520274
434,-13.22479931,6.379624434
435,-12.47009004,-4.854608569
436,0.419413243,3.170893752
437,-16.6263156,1.310686569
438,-8.124359939,2.222547904
439,-9.815164861,3.086246841
440,-5.956218936,3.913509121
441,-13.83514815,-4.780310023
442,-8.682245818,7.769020445
443,-16.92657667,0.641695316
444,-7.755277971,5.083700536
445,-13.83514815,-4.780310023
446,-13.83514815,-4.780310023
447,-10.46584981,-5.00520274
448,-7.457182495,-2.248078463
449,-16.35856829,0.801510983
450,-13.22479931,6.379624434
451,-13.49254662,6.88880002
452,-15.82926588,1.076572356
453,-11.10548649,-9.359944438
454,-11.48353578,8.153728829
455,-10.13337079,0.957619096
456,2.128163017,3.766831307
457,-16.87611806,3.279498648
458,-8.414498507,7.259844858
459,-11.01070151,-6.793694878
460,-16.35856829,0.801510983
461,-13.56740084,-5.289485609
462,-6.750842512,-0.647860749
463,-16.6263156,1.310686569
464,-13.83514815,-4.780310023
465,-10.2249407,3.026012171
466,-16.92657667,0.641695316
467,-16.92657667,0.641695316
468,-16.30810968,3.439314315
469,-15.48557421,1.746808457
470,-16.87611806,3.279498648
471,-8.350809963,8.517061063
472,-13.82502564,0.925978185
473,-13.56740084,-5.289485609
474,-10.83125145,-3.438708725
475,-16.92657667,0.641695316
476,-13.49254662,6.88880002
477,-13.55727833,0.416802599
478,-16.87611806,3.279498648
479,-13.59795275,6.155549755
480,-2.237764742,-0.456979175
481,-16.92657667,0.641695316
482,-0.960231074,-5.031161454
483,-11.89590332,-8.199592855
484,-9.056705982,8.639474086
485,-13.55727833,0.416802599
486,-7.538406703,3.842000063
487,-0.071735101,-1.914058878
488,-2.06593218,-2.702309909
489,-13.83514815,-4.780310023
490,-13.56740084,-5.289485609
491,-13.83514815,-4.780310023
492,-7.242748879,1.488884329
493,-16.30810968,3.439314315
494,-13.83514815,-4.780310023
495,-6.764072444,0.732726378
496,-12.05154416,7.993913162
497,-11.60945329,5.671961235
498,-16.6263156,1.310686569
499,-13.22479931,6.379624434
500,-8.568999499,-8.055530644
501,-16.35856829,0.801510983
502,-15.27750307,1.196575689
503,-12.39414569,-3.675196881
504,-5.376753433,-0.897450019
505,-15.16736829,3.875436203
506,-16.6263156,1.310686569
507,-16.92657667,0.641695316
508,-15.48557421,1.746808457
509,-0.067900867,5.393585684
510,11.98365655,3.445073422
511,-11.57572571,6.934504807
512,-16.6263156,1.310686569
513,5.483738493,-1.693839652
514,-13.83514815,-4.780310023
515,-9.50973795,-0.632107294
516,-1.257562547,6.146156041
517,0.961833081,8.632675677
518,-5.401524556,-9.869936143
519,-9.287492584,6.314547384
520,-6.764072444,0.732726378
521,-16.87611806,3.279498648
522,-6.066716292,8.100650723
523,-4.88250773,-7.03434105
524,-16.35080563,0.897653941
525,-13.49254662,6.88880002
526,6.806850713,3.78956064
527,-12.05154416,7.993913162
528,-5.30984005,0.457252392
529,-13.83514815,-4.780310023
530,-11.25751978,9.063132552
531,0.746677689,5.99556187
532,-10.4610792,-3.589679761
533,-15.56151857,0.56739677
534,-7.417982227,-7.45620941
535,-6.890815376,4.880055647
536,-9.339790373,0.304207749
537,-4.027923056,2.583503263
538,-10.19810249,-5.514378326
539,-13.26713976,-4.620494356
540,1.491484251,0.275790465
541,-15.82926588,1.076572356
542,-16.87611806,3.279498648
543,-13.26713976,-4.620494356
544,4.29630402,5.457792524
545,4.605024414,3.330673671
546,-3.769678229,-0.344343434
547,-13.59795275,6.155549755
548,-8.251806072,-6.809448333
549,2.533214986,5.71966448
550,-16.6263156,1.310686569
551,-13.83514815,-4.780310023
552,-16.6263156,1.310686569
553,-16.92657667,0.641695316
554,-13.49254662,6.88880002
555,-13.82025503,2.341501164
556,-12.05154416,7.993913162
557,-6.861339868,3.539280853
558,-12.42109848,-7.530387995
559,-16.6263156,1.310686569
560,-10.12324828,6.663907303
561,-13.1743407,9.017427766
562,-16.6263156,1.310686569
563,-13.2343018,3.960953323
564,-13.50681972,3.054605931
565,-11.57572571,6.934504807
566,-13.49254662,6.88880002
567,-12.05154416,7.993913162
568,-10.46584981,-5.00520274
569,-13.83514815,-4.780310023
570,-13.1743407,9.017427766
571,-14.1474689,-2.182681203
572,-12.20234273,-5.363784155
573,-13.83514815,-4.780310023
574,-13.83514815,-4.780310023
575,-12.92453824,7.048615687
576,-10.12324828,6.663907303
577,0.100512969,0.827873826
578,-13.49254662,6.88880002
579,-12.38402318,2.031091326
580,-12.05154416,7.993913162
581,-10.78829307,-8.113862128
582,-16.61855294,1.406829527
583,-11.09899876,-2.929533138
584,-7.448723174,-5.044188569
585,-10.75639723,8.739576905
586,1.003316248,8.398905907
587,-5.576832975,-10.36419429
588,-11.89195915,1.011495305
589,-13.82502564,0.925978185
590,-4.512964445,-5.74010706
591,-2.748011125,3.285785003
592,-15.75332152,2.255984044
593,-13.83514815,-4.780310023
594,-15.82926588,1.076572356
595,-13.83514815,-4.780310023
596,-11.73333824,10.12254091
597,-10.12324828,6.663907303
598,0.468343234,-0.741531559
599,-16.30810968,3.439314315
600,-13.82502564,0.925978185
601,-13.83514815,-4.780310023
602,-0.387593815,8.39478712
603,-13.83514815,-4.780310023
604,-13.49254662,6.88880002
605,-15.48557421,1.746808457
606,-15.26125749,1.236388023
607,-12.47009004,-4.854608569
608,-10.13337079,0.957619096
